,main_post,reply_post,fold,label
0,طيب ... أي متى بتخلص هالمهلة لنعرف شو بدنا نكتب #لأنّو_زهقنا,"<USER> صدقني الوزارة يلي جايي لح تكون كارثة ، لذلك لازم تكون وزارة إنتخابات مش رئيسها الحريري ...
يعني خود مثلا : وزارة الطاقة لفرنجية !!! 
فكر فيها",4,Neutral
1,هل ينقذ المفتي لبنان وشعبه؟,"<USER> كلا 
بعد في سنة و نص حتى تسلموا لبنان احسن من استلمتوه 
مثلما وعد الرئيس",0,Neutral
2,"عند مشاهدتي مسلسل أصحاب المعروف سرعان ما تبادر إلى ذهني ""صحبة""محور الشر،  القائمة على تنفيذ المصالح الشيطانية بحق الدول العربية.. إلى متى يسكت العرب على احتلال إيران؟ <link>","<USER> ..و مارأيك في هذا
(الخيار الإستراتيجي)المخلل ؟
إنه خليط من رموز الشر

..وينبغي تصحيح سؤالك
ليصبح إلى متى يسكت
المجتمع الدولي على 
إحتلال إسرائيل للأراضي
العربيةالمحتلة  ؟ <link>",4,Neutral
3,"مرة بابا قلي : ""طالما انتي مش غلطانة بحق حدا خلي يضلّ زعلان لحد ما الزمن يراضيه ""
#تصبحون_على_ما_تتمنون",<USER> صح وانتي بخير 🌹,4,Positive
4,تريثي ولا تتسرعي <link>,<USER> خرا عليهم التنان,0,Neutral
5,"زمن #إيران وايديولوجيتها قد ولى، 
ودخلنا عصر أسمى من مخططاتها عصر #السلام والمودة، وهنا نستشهد بقول للإمام #علي_بن_أبي_طالب: فاقنع ففي بعض القناعة راحة
واليأس مما فات فهو المطلب <link>",<USER> من متى بتعرف الإمام علي يا وسخ الإمام علي رجل عظيم و انتم و دولتكم اقل من حشره,1,Negative
6,"كل من يدعوا الى التظاهر في بلده هو خائن

الدين الاسلامي يدعوا الى الصبر على الحاكم الظالم 

الصبر على الحاكم الظالم ولا خراب الاوطان يا عرب

شوفوا سوريا ومصر واتعضوا الف مره قبل اي فكرة مثل هالافكار الشيطانية الله يديم نعمة الامن والامان في كل الدول العربية امين يا رب","<USER> هذا ما امر به الرسول محمد صلى الله عليه وسلم يا ايها ""اليهودي اللبناني""..
#السعودية_خط_احمر <link>",4,Negative
7,الرئيس عون تلقى برقية من الملك سلمان بن عبد العزيز شكره فيها على تهنئته بعيد الفطر المبارك، مقدّرا المشاعر الطيبة التي عبّر عنها رئيس الجمهورية في برقية التهنئة، كذلك تلقى الرئيس عون برقية مماثلة من امير قطر الشيخ تميم بن حمد آل ثاني تمنى له فيها الصحة والعافية وللبنان الإزدهار,"<USER> حسبي الله ونعم الوكيل 
دلالة على انك عم ترجع بلبنان لورا 
الله لايسامحك انت ومن شد على ايدك",1,Negative
8,"حل للصراع؟
<link>","<USER> الحل .  فى حب الله . وارضاء الله بالعمل الصالح 
ومعرفه أن من خلق اليهود والمسيحيين والمسلمين هو واحد وهو الله الواحد  . وهو صاحب الأرض ومن عليها 
وعلى ذلك .. نكون اخوه فى حب وسلام يعيش الشعب الفلسطينى فى سلام ويعيش الشعب الإسرائيلى فى سلام .. وعليه يكون حل الدولتين بسلام وحب 🙏",4,Neutral
9,#عاجل تفاصيل إضافية عن استهداف #برج_الجلاء خلال حملة #حارس_الأسوار: #حماس استخدمت البرج للبحث والتطوير الاستخباري وتنفيذ أعمال تعرف بالاستخبارات الكهيربية أو ما يعرف باستخبارات الاشارات، والحرب الإلكترونية بما في ذلك تطوير قدرات لتشويش عمل نظام القبة الحديدية,<USER> لو انك صادق كان استهدفتو اعمدة الإرسال والاستقبال وليس البرج كاملا,3,Neutral
